"country","avg_sentiment","hashtag"
"Lithuania",0.0121176821080275,"#Trump"
"Luxembourg",-0.0148527540285585,"#Trump"
"Madagascar",0.00231738831356344,"#Trump"
"Malaysia",-0.0202917380141201,"#Trump"
"Maldives",-0.043751131949995,"#Trump"
"Malta",0.0191623842744655,"#Trump"
"Mauritius",-0.0222136075225049,"#Trump"
"Mexico",-0.0223689181946583,"#Trump"
"Moldova",0.0435610863321022,"#Trump"
"Monaco",-0.0451296954065352,"#Trump"
"Mongolia",-0.0125631936547762,"#Trump"
"Montenegro",-0.018819463040662,"#Trump"
"Morocco",-0.00607875191376814,"#Trump"
"Myanmar",0.042952445202191,"#Trump"
"Namibia",0.0610991827286066,"#Trump"
"Nepal",0.0464107624017252,"#Trump"
"Netherlands",-0.0265761278871367,"#Trump"
"New Zealand",-0.0388910038143627,"#Trump"
"Nicaragua",-0.022241447005651,"#Trump"
"Niger",0.0531623446313706,"#Trump"
"Nigeria",0.0286194351034512,"#Trump"
"North Korea",0.100269167978429,"#Trump"
"North Macedonia",-0.0288469304139563,"#Trump"
"Northern Mariana Islands",0.252312758696496,"#Trump"
"Norway",-0.0300080158536766,"#Trump"
"Oman",0.0478779557154556,"#Trump"
"Pakistan",0.0204038913617061,"#Trump"
"Palestinian Territory",-0.0603051397690527,"#Trump"
"Panama",-0.0193204643269308,"#Trump"
"Papua New Guinea",0.0133953223755778,"#Trump"
"Paraguay",-0.0221785531600242,"#Trump"
"Peru",-0.0257206967859572,"#Trump"
"Philippines",-0.0440102813492628,"#Trump"
"Poland",-0.0144162382922596,"#Trump"
"Portugal",-0.0424243218901652,"#Trump"
"Puerto Rico",-0.141084198344491,"#Trump"
"Qatar",0.0120797911905453,"#Trump"
"Republic of the Congo",-0.0214914658518898,"#Trump"
"Romania",-0.029590642906192,"#Trump"
"Russia",-0.0421053306277182,"#Trump"
"Rwanda",-0.0048901111113232,"#Trump"
"Saint Kitts and Nevis",-0.0910897101746183,"#Trump"
"Samoa",0,"#Trump"
"Saudi Arabia",0.0133755477741292,"#Trump"
